bib,name,status,category,sex,country,Départ,P7,Cresse,Rozier,Truel,St André,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,Arrivée,MassebiauD
3004,Yannick NOEL,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:44:19.000+00:00,2023-10-20T05:23:54.000+00:00,2023-10-20T06:23:00.000+00:00,2023-10-20T07:43:34.000+00:00,2023-10-20T09:20:50.000+00:00,2023-10-20T10:22:30.000+00:00,2023-10-20T11:23:52.000+00:00,2023-10-20T12:20:32.000+00:00,2023-10-20T12:46:13.000+00:00,2023-10-20T13:20:00.000+00:00,2023-10-20T14:02:08.000+00:00,
3018,Sylvain COURT,FINISHER,M1-M2H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:44:26.000+00:00,2023-10-20T05:24:05.000+00:00,2023-10-20T06:22:29.000+00:00,2023-10-20T07:43:34.000+00:00,2023-10-20T09:20:55.000+00:00,2023-10-20T10:25:02.000+00:00,2023-10-20T11:33:16.000+00:00,2023-10-20T12:31:39.000+00:00,2023-10-20T12:57:25.000+00:00,2023-10-20T13:29:41.000+00:00,2023-10-20T14:02:22.000+00:00,
3007,Lilian LEROY,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:44:19.000+00:00,2023-10-20T05:23:01.000+00:00,2023-10-20T06:20:08.000+00:00,2023-10-20T07:40:07.000+00:00,2023-10-20T09:20:51.000+00:00,2023-10-20T10:24:03.000+00:00,2023-10-20T11:29:18.000+00:00,2023-10-20T12:29:09.000+00:00,2023-10-20T12:57:14.000+00:00,2023-10-20T13:30:36.000+00:00,2023-10-20T14:02:35.000+00:00,
3005,Mathieu DELPEUCH,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:45:37.000+00:00,2023-10-20T05:25:11.000+00:00,2023-10-20T06:24:02.000+00:00,2023-10-20T07:46:45.000+00:00,2023-10-20T09:30:06.000+00:00,2023-10-20T10:36:28.000+00:00,2023-10-20T11:44:47.000+00:00,2023-10-20T12:48:57.000+00:00,2023-10-20T13:17:41.000+00:00,2023-10-20T13:53:29.000+00:00,2023-10-20T14:34:14.000+00:00,
3009,Antonin MARECAILLE,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:46:38.000+00:00,2023-10-20T05:28:34.000+00:00,2023-10-20T06:30:54.000+00:00,2023-10-20T07:53:04.000+00:00,2023-10-20T09:34:19.000+00:00,2023-10-20T10:43:46.000+00:00,2023-10-20T11:54:30.000+00:00,2023-10-20T12:56:31.000+00:00,2023-10-20T13:24:00.000+00:00,2023-10-20T13:57:31.000+00:00,2023-10-20T14:34:33.000+00:00,
3505,Jean BLANCHETEAU,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:50:32.000+00:00,2023-10-20T05:32:26.000+00:00,2023-10-20T06:37:14.000+00:00,2023-10-20T08:00:53.000+00:00,2023-10-20T09:40:25.000+00:00,2023-10-20T10:50:04.000+00:00,2023-10-20T12:03:39.000+00:00,2023-10-20T13:07:05.000+00:00,2023-10-20T13:31:58.000+00:00,2023-10-20T14:05:50.000+00:00,2023-10-20T14:43:32.000+00:00,
3507,David MENANTEAU,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:44:21.000+00:00,2023-10-20T05:25:04.000+00:00,2023-10-20T06:25:09.000+00:00,2023-10-20T07:53:09.000+00:00,2023-10-20T09:48:34.000+00:00,2023-10-20T11:00:27.000+00:00,2023-10-20T12:13:24.000+00:00,2023-10-20T13:14:17.000+00:00,2023-10-20T13:43:18.000+00:00,2023-10-20T14:23:32.000+00:00,2023-10-20T15:04:05.000+00:00,
3073,Benjamin CODOU,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:46:13.000+00:00,2023-10-20T05:26:50.000+00:00,2023-10-20T06:30:29.000+00:00,2023-10-20T07:58:08.000+00:00,2023-10-20T09:46:00.000+00:00,2023-10-20T10:57:28.000+00:00,2023-10-20T12:15:03.000+00:00,2023-10-20T13:20:43.000+00:00,2023-10-20T13:49:41.000+00:00,2023-10-20T14:26:55.000+00:00,2023-10-20T15:07:11.000+00:00,
3504,Daniel MEJIA,FINISHER,M1-M2H,MALE,CO,2023-10-20T04:00:16.000+00:00,2023-10-20T04:50:12.000+00:00,2023-10-20T05:36:13.000+00:00,2023-10-20T06:43:12.000+00:00,2023-10-20T08:12:27.000+00:00,2023-10-20T09:59:04.000+00:00,2023-10-20T11:12:04.000+00:00,2023-10-20T12:24:15.000+00:00,2023-10-20T13:27:35.000+00:00,2023-10-20T13:57:13.000+00:00,2023-10-20T14:31:00.000+00:00,2023-10-20T15:09:35.000+00:00,
3078,Antoine DHAYNAUT,FINISHER,S-M0H,MALE,FR,2023-10-20T04:00:16.000+00:00,2023-10-20T04:45:16.000+00:00,2023-10-20T05:27:55.000+00:00,2023-10-20T06:34:16.000+00:00,2023-10-20T08:04:51.000+00:00,2023-10-20T09:51:05.000+00:00,2023-10-20T11:07:52.000+00:00,2023-10-20T12:18:11.000+00:00,2023-10-20T13:25:10.000+00:00,2023-10-20T13:57:40.000+00:00,2023-10-20T14:35:09.000+00:00,2023-10-20T15:19:23.000+00:00,
