bib,name,status,category,sex,country,Départ,P10,Rozier,Truel,MASSABIAU,St Andrée,Roquesalte,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée,Cresse
3002,Yannick NOEL,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:46:30.000+02:00,2024-10-18T06:24:20.000+02:00,2024-10-18T07:17:30.000+02:00,2024-10-18T08:13:29.000+02:00,2024-10-18T09:07:25.000+02:00,2024-10-18T09:48:05.000+02:00,2024-10-18T10:09:11.000+02:00,2024-10-18T10:57:27.000+02:00,2024-10-18T11:49:53.000+02:00,2024-10-18T12:14:35.000+02:00,2024-10-18T12:45:54.000+02:00,2024-10-18T13:02:34.000+02:00,2024-10-18T13:21:25.000+02:00,
3018,Sylvain COURT,FINISHER,M1-M2H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:47:19.000+02:00,2024-10-18T06:24:26.000+02:00,2024-10-18T07:17:41.000+02:00,2024-10-18T08:13:31.000+02:00,2024-10-18T09:07:27.000+02:00,2024-10-18T09:48:05.000+02:00,2024-10-18T10:09:15.000+02:00,,2024-10-18T11:58:27.000+02:00,2024-10-18T12:25:04.000+02:00,2024-10-18T13:00:31.000+02:00,2024-10-18T13:15:14.000+02:00,2024-10-18T13:31:42.000+02:00,2024-10-18T05:28:19.000+02:00
3016,Remy BRASSAC,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:46:33.000+02:00,2024-10-18T06:24:09.000+02:00,2024-10-18T07:17:35.000+02:00,2024-10-18T08:13:29.000+02:00,2024-10-18T09:08:01.000+02:00,2024-10-18T09:52:02.000+02:00,2024-10-18T10:12:52.000+02:00,2024-10-18T11:06:31.000+02:00,2024-10-18T12:05:55.000+02:00,2024-10-18T12:30:37.000+02:00,2024-10-18T13:00:45.000+02:00,2024-10-18T13:16:23.000+02:00,2024-10-18T13:42:12.000+02:00,2024-10-18T05:27:52.000+02:00
3017,Robin BONDUELLE,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:46:32.000+02:00,2024-10-18T06:24:04.000+02:00,2024-10-18T07:17:59.000+02:00,2024-10-18T08:13:31.000+02:00,2024-10-18T09:12:03.000+02:00,2024-10-18T09:58:35.000+02:00,2024-10-18T10:19:03.000+02:00,2024-10-18T11:15:03.000+02:00,2024-10-18T12:12:25.000+02:00,2024-10-18T12:37:25.000+02:00,2024-10-18T13:08:40.000+02:00,2024-10-18T13:25:50.000+02:00,2024-10-18T13:46:46.000+02:00,2024-10-18T05:27:49.000+02:00
3020,Gwendal MOYSAN,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:47:17.000+02:00,2024-10-18T06:25:30.000+02:00,2024-10-18T07:21:17.000+02:00,2024-10-18T08:19:10.000+02:00,2024-10-18T09:16:15.000+02:00,2024-10-18T09:59:53.000+02:00,2024-10-18T10:20:49.000+02:00,2024-10-18T11:13:12.000+02:00,2024-10-18T12:10:43.000+02:00,,2024-10-18T13:14:07.000+02:00,2024-10-18T13:32:08.000+02:00,2024-10-18T13:51:25.000+02:00,
3058,Edouard HENRIOT,FINISHER,M1-M2H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:49:58.000+02:00,2024-10-18T06:35:28.000+02:00,2024-10-18T07:35:13.000+02:00,2024-10-18T08:33:23.000+02:00,2024-10-18T09:30:49.000+02:00,2024-10-18T10:15:35.000+02:00,2024-10-18T10:37:14.000+02:00,2024-10-18T11:28:47.000+02:00,2024-10-18T12:28:39.000+02:00,2024-10-18T12:55:45.000+02:00,2024-10-18T13:28:48.000+02:00,2024-10-18T13:47:55.000+02:00,2024-10-18T14:05:18.000+02:00,2024-10-18T05:34:00.000+02:00
3022,Clement BARRET,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:48:09.000+02:00,2024-10-18T06:33:26.000+02:00,2024-10-18T07:32:12.000+02:00,2024-10-18T08:32:12.000+02:00,2024-10-18T09:31:40.000+02:00,2024-10-18T10:16:44.000+02:00,2024-10-18T10:38:19.000+02:00,2024-10-18T11:33:53.000+02:00,2024-10-18T12:33:14.000+02:00,2024-10-18T13:01:45.000+02:00,2024-10-18T13:37:09.000+02:00,2024-10-18T13:57:24.000+02:00,2024-10-18T14:22:47.000+02:00,2024-10-18T05:30:50.000+02:00
3042,François GUYON,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:49:32.000+02:00,2024-10-18T06:35:39.000+02:00,2024-10-18T07:36:35.000+02:00,2024-10-18T08:35:56.000+02:00,2024-10-18T09:37:55.000+02:00,2024-10-18T10:28:31.000+02:00,2024-10-18T10:51:30.000+02:00,,,,,,2024-10-18T14:22:30.000+02:00,2024-10-18T05:32:46.000+02:00
3026,Maxime JAOUEN,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:49:12.000+02:00,2024-10-18T06:35:35.000+02:00,2024-10-18T07:35:15.000+02:00,2024-10-18T08:33:24.000+02:00,2024-10-18T09:34:14.000+02:00,2024-10-18T10:22:28.000+02:00,2024-10-18T10:45:58.000+02:00,2024-10-18T11:42:00.000+02:00,2024-10-18T12:43:17.000+02:00,,2024-10-18T13:47:02.000+02:00,2024-10-18T14:06:16.000+02:00,2024-10-18T14:27:51.000+02:00,2024-10-18T05:32:19.000+02:00
3025,Benoit CHAUVET,FINISHER,M1-M2H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:47:38.000+02:00,2024-10-18T06:27:38.000+02:00,2024-10-18T07:26:50.000+02:00,2024-10-18T08:28:16.000+02:00,2024-10-18T09:31:10.000+02:00,2024-10-18T10:20:37.000+02:00,2024-10-18T10:45:10.000+02:00,2024-10-18T11:42:54.000+02:00,2024-10-18T12:45:56.000+02:00,2024-10-18T13:13:50.000+02:00,2024-10-18T13:48:52.000+02:00,2024-10-18T14:06:53.000+02:00,2024-10-18T17:22:19.000+02:00,2024-10-18T05:28:51.000+02:00
3036,Julien JORRO,FINISHER,M1-M2H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:51:21.000+02:00,2024-10-18T06:37:57.000+02:00,2024-10-18T07:36:57.000+02:00,2024-10-18T08:33:10.000+02:00,2024-10-18T09:31:38.000+02:00,2024-10-18T10:18:45.000+02:00,2024-10-18T10:40:57.000+02:00,2024-10-18T11:41:21.000+02:00,2024-10-18T12:46:48.000+02:00,2024-10-18T13:13:12.000+02:00,2024-10-18T13:50:01.000+02:00,2024-10-18T14:08:21.000+02:00,2024-10-18T14:30:28.000+02:00,2024-10-18T05:33:52.000+02:00
3065,Victor LETERTRE,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:47:44.000+02:00,2024-10-18T06:31:15.000+02:00,2024-10-18T07:31:49.000+02:00,2024-10-18T08:31:08.000+02:00,2024-10-18T09:31:38.000+02:00,2024-10-18T10:24:27.000+02:00,2024-10-18T10:48:38.000+02:00,2024-10-18T11:44:23.000+02:00,2024-10-18T12:50:47.000+02:00,2024-10-18T13:20:11.000+02:00,2024-10-18T13:56:30.000+02:00,2024-10-18T14:14:54.000+02:00,2024-10-18T14:36:21.000+02:00,2024-10-18T05:30:13.000+02:00
3064,Simon SELLIER,FINISHER,S-M0H,MALE,FR,2024-10-18T04:02:06.000+02:00,2024-10-18T04:48:26.000+02:00,2024-10-18T06:32:26.000+02:00,2024-10-18T07:32:23.000+02:00,2024-10-18T08:33:27.000+02:00,2024-10-18T09:34:15.000+02:00,2024-10-18T10:22:29.000+02:00,2024-10-18T10:46:23.000+02:00,2024-10-18T11:44:34.000+02:00,2024-10-18T12:50:16.000+02:00,2024-10-18T13:18:53.000+02:00,2024-10-18T13:59:34.000+02:00,2024-10-18T14:18:57.000+02:00,2024-10-18T14:42:02.000+02:00,2024-10-18T05:30:25.000+02:00
