access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],424,0,0,0,False,False,44.18847,3.20713,Peyreleau,integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Peyreleau,SIMPLE,[],2022-10-21T06:50:10.000+00:00,2022-10-21T06:50:10.000+00:00
[],788,12340,677,16,False,False,44.18415,3.22472,Champignon P54,integra,[],Champignon,SIMPLE,[],2022-10-21T08:02:10.000+00:00,2022-10-21T10:19:10.000+00:00
[],870,21790,982,20,False,False,44.15274,3.25883,St Andrée de Vezines,integra,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St Andrée ,SIMPLE,"[{'pointId': 20, 'live': 'x3yl8qo', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-21T08:52:10.000+00:00,2022-10-21T12:43:10.000+00:00
[],400,32650,1225,24,False,False,44.12335,3.22214,La Roque Ste Marguerite,integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",La Roque,SIMPLE,[],2022-10-21T09:47:10.000+00:00,2022-10-21T15:23:10.000+00:00
[],732,43090,1808,30,False,False,44.09552,3.18986,La Salvage,integra,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Salvage,SIMPLE,"[{'pointId': 30, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-21T10:59:10.000+00:00,2022-10-21T18:49:10.000+00:00
[],750,51770,2253,32,False,False,44.08653,3.14643,Mas de Bru (P88),integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Mas de Bru,SIMPLE,[],2022-10-21T11:59:10.000+00:00,2022-10-21T21:43:10.000+00:00
[],366,57200,2278,36,False,False,44.10188,3.12712,Massebiau,integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Massebiau,SIMPLE,"[{'pointId': 36, 'live': 'x8d2z3g', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-21T12:26:10.000+00:00,2022-10-21T23:00:10.000+00:00
[],832,60440,2757,46,False,False,44.121,3.11863,Le Cade,integra,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Cade,SIMPLE,"[{'pointId': 46, 'live': 'x4clca7', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-21T13:04:10.000+00:00,2022-10-22T00:51:10.000+00:00
[],837,63530,2840,52,False,False,44.11027,3.10255,la pouncho,integra,[],la pouncho,SIMPLE,[],2022-10-21T13:23:10.000+00:00,2022-10-22T01:46:10.000+00:00
[],393,66700,2859,58,False,False,44.1144,3.08949,Arrivée Millau,integra,"['AID_STATION', 'EMERGENCY']",Arrivée,SIMPLE,"[{'pointId': 58, 'live': 'x3yl9ag', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-21T13:40:10.000+00:00,2022-10-22T02:34:10.000+00:00
