distance_cum,altitude,lon,lat
0,424.0,3.20713,44.18847
23,426.0,3.20685,44.18852
51,429.0,3.2065,44.18851
51,,3.20624,44.18847
105,432.0,3.20588,44.18832
105,,3.20574,44.18824
152,436.0,3.20544,44.18805
152,,3.20533,44.18795
178,438.0,3.20527,44.18785
178,,3.20522,44.18775
208,440.0,3.20516,44.18759
262,443.0,3.20502,44.18712
285,444.0,3.20493,44.18692
285,,3.20488,44.18685
311,446.0,3.20477,44.18672
311,,3.20465,44.18662
365,450.0,3.20424,44.18641
365,,3.20407,44.18633
365,,3.20395,44.18624
412,454.0,3.20382,44.18612
412,,3.20369,44.18604
444,456.0,3.20354,44.18591
444,,3.20349,44.18586
444,,3.20347,44.18583
444,,3.20346,44.18579
444,,3.20346,44.18575
466,457.0,3.20348,44.18572
466,,3.20355,44.18566
466,,3.2036,44.18565
466,,3.20366,44.18565
486,460.0,3.20371,44.18567
486,,3.20376,44.18568
486,,3.2038,44.18571
517,460.0,3.20403,44.18584
517,,3.2041,44.18586
544,463.0,3.20436,44.18588
544,,3.20452,44.1859
578,465.0,3.20476,44.18597
607,469.0,3.20508,44.18609
607,,3.2052,44.18613
630,468.0,3.20533,44.1862
630,,3.20545,44.18632
630,,3.20568,44.18664
630,,3.20574,44.1867
712,472.0,3.20589,44.18681
712,,3.206,44.18685
712,,3.20613,44.18687
740,478.0,3.20623,44.18687
740,,3.20635,44.18684
740,,3.20676,44.18666
740,,3.20684,44.18663
797,480.0,3.20687,44.18665
797,,3.20693,44.18665
797,,3.20723,44.18656
797,,3.20732,44.18654
847,478.0,3.20748,44.18654
878,477.0,3.20786,44.18658
901,474.0,3.20813,44.18666
930,472.0,3.20848,44.18672
988,462.0,3.20919,44.18666
988,,3.20932,44.18666
988,,3.20976,44.18681
1063,453.0,3.21008,44.18685
1105,450.0,3.2106,44.18685
1105,,3.21071,44.18681
1135,449.0,3.21097,44.1868
1135,,3.21111,44.18678
1157,445.0,3.21124,44.18675
1157,,3.21131,44.18675
1157,,3.21138,44.18676
1157,,3.21141,44.1868
1177,439.0,3.21141,44.18687
1177,,3.21136,44.18691
1216,435.0,3.21118,44.18718
1239,433.0,3.21106,44.18736
1267,430.0,3.21087,44.18757
1267,,3.2108,44.18763
1267,,3.21075,44.18765
1291,427.0,3.21065,44.18772
1291,,3.21052,44.18777
1324,427.0,3.21025,44.18777
1324,,3.21014,44.18776
1324,,3.20949,44.18758
1324,,3.20942,44.18757
1324,,3.209,44.18764
1451,423.0,3.20866,44.18772
1478,421.0,3.20835,44.18783
1478,,3.20823,44.18787
1478,,3.20815,44.18792
1505,419.0,3.2081,44.18799
1505,,3.2083,44.18804
1505,,3.2083,44.18805
1582,413.0,3.20901,44.18821
1582,,3.20907,44.18812
1582,,3.20911,44.1881
1582,,3.20942,44.18811
1582,,3.20955,44.18815
1582,,3.20971,44.18824
1582,,3.20976,44.18828
1582,,3.2101,44.18864
1713,403.0,3.21039,44.18884
1745,400.0,3.21057,44.18909
1745,,3.21066,44.18925
1791,398.0,3.21083,44.18946
1791,,3.21081,44.18938
1791,,3.21086,44.18945
1804,398.0,3.21087,44.18935
1804,,3.2109,44.18928
1804,,3.21096,44.18869
1897,406.0,3.21095,44.18851
1897,,3.21103,44.18807
1960,413.0,3.21104,44.18795
1960,,3.21107,44.1879
1960,,3.21126,44.18773
1960,,3.21133,44.18764
2006,414.0,3.21139,44.18762
2006,,3.21143,44.18762
2006,,3.21145,44.18764
2006,,3.21147,44.18765
2006,,3.21142,44.18775
2047,414.0,3.21133,44.18798
2047,,3.21129,44.18814
2089,419.0,3.21131,44.18836
2089,,3.21134,44.18844
2113,422.0,3.21141,44.18856
2136,422.0,3.21159,44.18872
2136,,3.21169,44.18877
2136,,3.21178,44.18879
2160,428.0,3.21187,44.18879
2160,,3.21203,44.18878
2160,,3.2121,44.18874
2192,428.0,3.21222,44.18864
2192,,3.21235,44.18855
2214,428.0,3.21249,44.18862
2214,,3.21266,44.18867
2244,427.0,3.21282,44.18874
2244,,3.21286,44.18874
2244,,3.21307,44.18871
2244,,3.21326,44.18872
2244,,3.21334,44.18871
2305,423.0,3.21357,44.18883
2305,,3.2137,44.18895
2333,421.0,3.21378,44.18904
2333,,3.21385,44.18918
2357,419.0,3.2139,44.18923
2357,,3.21401,44.18932
2413,416.0,3.21455,44.18943
2413,,3.21472,44.18946
2413,,3.21501,44.18954
2472,413.0,3.21524,44.18962
2505,411.0,3.21564,44.18967
2505,,3.21582,44.18971
2563,411.0,3.2163,44.1899
2600,411.0,3.21673,44.19002
2628,409.0,3.217,44.19017
2656,409.0,3.21727,44.19033
2687,408.0,3.21763,44.19045
2733,408.0,3.21815,44.19062
2733,,3.21841,44.19065
2770,414.0,3.21861,44.19068
2770,,3.2188,44.1907
2850,410.0,3.2196,44.19071
2889,408.0,3.22008,44.19065
2889,,3.22033,44.19067
2967,406.0,3.22104,44.19076
2989,405.0,3.22132,44.19076
2989,,3.22149,44.19077
3046,407.0,3.22203,44.19075
3087,406.0,3.22255,44.19078
3087,,3.22269,44.19076
3118,406.0,3.22292,44.19071
3118,,3.22318,44.19071
3118,,3.22399,44.19066
3221,415.0,3.2242,44.19064
3221,,3.22441,44.19063
3269,415.0,3.2248,44.19066
3298,415.0,3.22517,44.19068
3331,415.0,3.22557,44.19064
3331,,3.22565,44.19062
3331,,3.22578,44.19057
3361,415.0,3.2259,44.19051
3390,415.0,3.22606,44.19027
3430,421.0,3.22642,44.19003
3483,427.0,3.22702,44.18983
3483,,3.22719,44.18979
3513,433.0,3.22737,44.18976
3552,433.0,3.22786,44.18972
3552,,3.22866,44.18974
3644,435.0,3.22901,44.18974
3644,,3.2297,44.18967
3725,433.0,3.23001,44.18963
3725,,3.23023,44.18964
3758,433.0,3.23042,44.18964
3818,438.0,3.23115,44.18951
3856,442.0,3.23162,44.18948
3856,,3.23222,44.18947
3922,440.0,3.23245,44.18947
3945,440.0,3.23272,44.18954
3945,,3.23292,44.18956
3980,440.0,3.23316,44.18954
3980,,3.23333,44.18951
4047,443.0,3.23399,44.18946
4047,,3.2342,44.18943
4075,448.0,3.23433,44.18947
4075,,3.23456,44.18953
4173,454.0,3.23555,44.1896
4173,,3.23565,44.18957
4173,,3.23612,44.18963
4237,452.0,3.23635,44.18961
4237,,3.23652,44.18966
4264,451.0,3.23666,44.18969
4294,451.0,3.23704,44.18973
4319,452.0,3.23734,44.18976
4357,452.0,3.23779,44.18988
4382,454.0,3.23809,44.18995
4382,,3.23826,44.18998
4382,,3.2385,44.18999
4382,,3.23858,44.19001
4438,458.0,3.23879,44.18997
4438,,3.23894,44.18992
4474,457.0,3.23922,44.18989
4500,457.0,3.23954,44.18987
4500,,3.23961,44.18989
4539,458.0,3.2398,44.19017
4539,,3.2399,44.19019
4563,464.0,3.24008,44.19026
4563,,3.24075,44.19032
4647,483.0,3.24109,44.19034
4647,,3.2413,44.19043
4647,,3.24193,44.1905
4735,499.0,3.24213,44.19056
4735,,3.24239,44.19052
4796,512.0,3.24287,44.19061
4832,530.0,3.24326,44.19059
4879,540.0,3.24383,44.19067
4925,540.0,3.24427,44.19093
4925,,3.24424,44.19088
4959,545.0,3.24405,44.19067
4959,,3.24404,44.1906
4959,,3.2442,44.19059
4998,561.0,3.2445,44.19066
5034,570.0,3.24426,44.1904
5082,576.0,3.24381,44.19012
5082,,3.24383,44.19004
5082,,3.24391,44.19001
5148,598.0,3.24458,44.19003
5177,606.0,3.2443,44.18988
5210,620.0,3.24466,44.1898
5252,635.0,3.24512,44.18969
5252,,3.24563,44.1897
5317,649.0,3.24591,44.1897
5361,654.0,3.24542,44.18953
5361,,3.24533,44.18942
5385,662.0,3.2454,44.18932
5385,,3.24555,44.1893
5427,671.0,3.24591,44.18931
5427,,3.2459,44.18929
5427,,3.24581,44.18927
5427,,3.24582,44.18923
5450,690.0,3.24596,44.1892
5450,,3.24596,44.18918
5475,691.0,3.24568,44.18909
5475,,3.24557,44.18902
5515,696.0,3.24539,44.18881
5566,702.0,3.24482,44.1886
5566,,3.24471,44.1885
5588,703.0,3.24484,44.1884
5588,,3.24494,44.18823
5640,704.0,3.24507,44.18797
5640,,3.2452,44.18788
5667,707.0,3.24531,44.18779
5667,,3.24544,44.18778
5667,,3.24552,44.18778
5691,708.0,3.24558,44.18771
