bib,name,status,category,sex,country,Peyreleau,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5262,Paul CORNUT-CHAUVINC,FINISHER,SE H,MALE,FR,2022-10-21T06:50:14.000+00:00,2022-10-21T08:01:21.000+00:00,2022-10-21T08:47:07.000+00:00,2022-10-21T09:42:53.000+00:00,2022-10-21T10:46:31.000+00:00,2022-10-21T11:37:52.000+00:00,2022-10-21T12:03:13.000+00:00,2022-10-21T12:36:29.000+00:00,2022-10-21T12:54:27.000+00:00,2022-10-21T14:19:14.000+00:00
5081,Romain BIDAU,FINISHER,SE H,MALE,FR,2022-10-21T06:50:12.000+00:00,2022-10-21T08:01:16.000+00:00,2022-10-21T08:47:02.000+00:00,2022-10-21T09:42:53.000+00:00,2022-10-21T10:46:26.000+00:00,2022-10-21T11:40:34.000+00:00,2022-10-21T12:06:14.000+00:00,2022-10-21T12:42:24.000+00:00,2022-10-21T12:58:52.000+00:00,2022-10-21T13:28:04.000+00:00
5257,Morgan PLATET,FINISHER,SE H,MALE,FR,2022-10-21T06:50:13.000+00:00,2022-10-21T08:01:10.000+00:00,2022-10-21T08:46:40.000+00:00,2022-10-21T09:43:04.000+00:00,2022-10-21T10:49:39.000+00:00,2022-10-21T11:46:32.000+00:00,2022-10-21T12:14:16.000+00:00,2022-10-21T12:51:36.000+00:00,2022-10-21T13:10:36.000+00:00,2022-10-21T13:32:09.000+00:00
5301,Simon MICHEL-BERGER,FINISHER,ES H,MALE,FR,2022-10-21T06:50:12.000+00:00,2022-10-21T08:01:14.000+00:00,2022-10-21T08:47:14.000+00:00,2022-10-21T09:55:08.000+00:00,2022-10-21T10:54:42.000+00:00,2022-10-21T11:54:21.000+00:00,2022-10-21T12:24:39.000+00:00,2022-10-21T13:01:24.000+00:00,2022-10-21T13:19:06.000+00:00,2022-10-21T16:17:33.000+00:00
5283,Stephane VINOT,FINISHER,M1-M2H,MALE,FR,2022-10-21T06:50:14.000+00:00,2022-10-21T08:05:19.000+00:00,2022-10-21T08:53:13.000+00:00,2022-10-21T09:55:08.000+00:00,2022-10-21T11:07:01.000+00:00,2022-10-21T12:06:40.000+00:00,2022-10-21T12:33:42.000+00:00,2022-10-21T13:10:43.000+00:00,2022-10-21T13:28:21.000+00:00,2022-10-21T13:47:37.000+00:00
5038,Luc MEYER,FINISHER,ES H,MALE,FR,2022-10-21T06:50:12.000+00:00,2022-10-21T08:05:45.000+00:00,2022-10-21T08:54:23.000+00:00,2022-10-21T10:05:59.000+00:00,2022-10-21T11:14:06.000+00:00,2022-10-21T12:13:35.000+00:00,2022-10-21T12:42:16.000+00:00,2022-10-21T13:18:24.000+00:00,2022-10-21T13:37:22.000+00:00,2022-10-21T16:02:24.000+00:00
5050,Samuel TÉCHENÉ,FINISHER,M1-M2H,MALE,FR,2022-10-21T06:50:14.000+00:00,2022-10-21T08:06:48.000+00:00,2022-10-21T08:55:43.000+00:00,2022-10-21T09:57:40.000+00:00,2022-10-21T11:08:24.000+00:00,2022-10-21T12:07:21.000+00:00,2022-10-21T12:38:15.000+00:00,2022-10-21T13:18:13.000+00:00,2022-10-21T13:37:27.000+00:00,2022-10-21T13:57:56.000+00:00
5250,Romain DAMIANI,FINISHER,SE H,MALE,FR,2022-10-21T06:50:12.000+00:00,2022-10-21T08:06:48.000+00:00,2022-10-21T08:55:04.000+00:00,2022-10-21T09:57:18.000+00:00,2022-10-21T11:13:31.000+00:00,2022-10-21T12:13:58.000+00:00,2022-10-21T12:42:16.000+00:00,2022-10-21T13:19:53.000+00:00,2022-10-21T13:39:28.000+00:00,2022-10-21T13:58:05.000+00:00
5011,Glenn LE QUERE,FINISHER,SE H,MALE,FR,2022-10-21T06:50:14.000+00:00,2022-10-21T08:03:54.000+00:00,2022-10-21T08:53:41.000+00:00,2022-10-21T09:58:31.000+00:00,2022-10-21T11:19:35.000+00:00,2022-10-21T12:21:51.000+00:00,2022-10-21T12:51:43.000+00:00,2022-10-21T13:29:50.000+00:00,2022-10-21T13:48:30.000+00:00,2022-10-21T14:06:59.000+00:00
5166,Benoit DOULS,FINISHER,SE H,MALE,FR,2022-10-21T06:50:14.000+00:00,2022-10-21T08:05:47.000+00:00,2022-10-21T08:54:33.000+00:00,2022-10-21T09:57:47.000+00:00,2022-10-21T11:11:21.000+00:00,2022-10-21T12:14:13.000+00:00,2022-10-21T12:45:54.000+00:00,2022-10-21T13:29:28.000+00:00,2022-10-21T13:48:29.000+00:00,2022-10-21T14:47:08.000+00:00
