bib,name,status,category,sex,country,Peyreleau,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
5079,Alan LE PALABE,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:24:48.000+00:00,2023-10-20T09:25:06.000+00:00,2023-10-20T10:19:30.000+00:00,2023-10-20T11:12:03.000+00:00,2023-10-20T11:39:20.000+00:00,2023-10-20T12:10:39.000+00:00,2023-10-20T12:27:22.000+00:00,2023-10-20T12:58:01.000+00:00
5005,Glenn LE QUERE,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:25:18.000+00:00,2023-10-20T09:25:05.000+00:00,2023-10-20T10:23:19.000+00:00,2023-10-20T11:21:29.000+00:00,2023-10-20T11:45:59.000+00:00,2023-10-20T12:21:37.000+00:00,2023-10-20T12:41:19.000+00:00,2023-10-20T12:57:58.000+00:00
5015,Dardo Emmanuel OCAMPO,FINISHER,S-M0H,MALE,AR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:24:47.000+00:00,2023-10-20T09:25:00.000+00:00,2023-10-20T10:22:14.000+00:00,2023-10-20T11:19:47.000+00:00,2023-10-20T11:45:56.000+00:00,2023-10-20T12:22:37.000+00:00,2023-10-20T12:41:18.000+00:00,2023-10-20T13:05:31.000+00:00
5047,Jean Jacques MEYRONEINC,FINISHER,M1-M2H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:31:51.000+00:00,2023-10-20T09:34:46.000+00:00,2023-10-20T10:38:28.000+00:00,2023-10-20T11:39:10.000+00:00,2023-10-20T12:06:23.000+00:00,2023-10-20T12:42:27.000+00:00,2023-10-20T13:03:23.000+00:00,2023-10-20T13:21:43.000+00:00
5022,Cyril LE NAY,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:25:10.000+00:00,2023-10-20T09:28:41.000+00:00,2023-10-20T10:36:07.000+00:00,2023-10-20T11:42:13.000+00:00,2023-10-20T12:12:47.000+00:00,2023-10-20T12:51:24.000+00:00,2023-10-20T13:09:46.000+00:00,2023-10-20T13:34:21.000+00:00
5066,Matthieu GAUTIER,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:36:09.000+00:00,2023-10-20T09:41:36.000+00:00,2023-10-20T10:47:41.000+00:00,2023-10-20T11:49:14.000+00:00,2023-10-20T12:18:16.000+00:00,2023-10-20T12:54:15.000+00:00,2023-10-20T13:14:56.000+00:00,2023-10-20T13:35:15.000+00:00
5196,Ewen PATINEC,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:37:42.000+00:00,2023-10-20T09:44:12.000+00:00,2023-10-20T10:48:49.000+00:00,2023-10-20T11:50:06.000+00:00,2023-10-20T12:19:04.000+00:00,2023-10-20T12:56:07.000+00:00,2023-10-20T13:16:04.000+00:00,2023-10-20T13:42:43.000+00:00
5318,Erwan CALVIER,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:33:25.000+00:00,2023-10-20T09:39:04.000+00:00,2023-10-20T10:48:49.000+00:00,2023-10-20T11:53:12.000+00:00,2023-10-20T12:20:46.000+00:00,2023-10-20T13:00:45.000+00:00,2023-10-20T13:20:43.000+00:00,2023-10-20T13:48:41.000+00:00
5317,Brice SAUVAGE,FINISHER,M1-M2H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:37:24.000+00:00,2023-10-20T09:46:06.000+00:00,2023-10-20T10:53:00.000+00:00,2023-10-20T11:58:43.000+00:00,2023-10-20T12:29:22.000+00:00,2023-10-20T13:08:07.000+00:00,2023-10-20T13:28:21.000+00:00,2023-10-20T13:48:44.000+00:00
5225,Thibault CARLIER,FINISHER,S-M0H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:36:37.000+00:00,2023-10-20T09:44:22.000+00:00,2023-10-20T10:55:17.000+00:00,2023-10-20T12:03:57.000+00:00,2023-10-20T12:33:27.000+00:00,2023-10-20T13:10:37.000+00:00,2023-10-20T13:30:54.000+00:00,2023-10-20T13:51:11.000+00:00
5024,Sylvain BONY,FINISHER,M1-M2H,MALE,FR,2023-10-20T06:50:38.000+00:00,2023-10-20T08:33:45.000+00:00,2023-10-20T09:41:07.000+00:00,2023-10-20T10:53:03.000+00:00,2023-10-20T12:02:37.000+00:00,2023-10-20T12:30:55.000+00:00,2023-10-20T13:13:09.000+00:00,2023-10-20T13:33:06.000+00:00,2023-10-20T13:52:14.000+00:00
